Date,Description,Withdrawal (Dr),Deposit (Cr),Balance,Type,Reference
30/04/2025,MMT/IMPS/5120122 68372/SOHAMIITIN DORE/SRCB000000 6,20000.00,,993295.59,debit,
30/04/2025,MMT/IMPS/5120122 68406/YASHUNIQ/S BIN0013238,12000.00,,981295.59,debit,
30/04/2025,MMT/IMPS/5120122 83352/RISHIRAJUNI Q/IDIB000R633,22000.00,,959295.59,debit,
11/05/2025,MMT/IMPS/5131083 75698/RAGHAV/HD FC0004702,100000.00,,859295.59,debit,
11/05/2025,MMT/IMPS/5131127 49109/NIDISH/UTIB 0000347,100000.00,,759295.59,debit,
13/05/2025,RTGS- UTIBR62025051302 894223- DELTASOLVER SERVICES PRIVATE LIMITE- 924020050143145- UTIB0001812,,216000.00,975295.59,credit,
14/05/2025,MSI/OPENAI CHA/202505141855 /790049/,1778.22,,973517.37,debit,
16/05/2025,GRS/0047GRSE2506 0997 3299000 80131 Solar Punk L,,679158.56,1652675.93,credit,
16/05/2025,GRS/0047GRSE2506 0997 Commission~0047G RSE25060997 C,2000.00,,1650675.93,debit,
16/05/2025,GRS/0047GRSE2506 0997 Commision CGST~0047GRSE25 0609,180.00,,1650495.93,debit,
16/05/2025,GRS/0047GRSE2506 0997 Commision SGST~0047GRSE25 0609,180.00,,1650315.93,debit,
16/05/2025,GRS/0047GRSE2506 0997 Slab CGST~0047GRSE25 060997 Sl,350.62,,1649965.31,debit,
16/05/2025,GRS/0047GRSE2506 0997 Slab SGST~0047GRSE25 060997 Sl,350.62,,1649614.69,debit,
16/05/2025,MMT/IMPS/5136103 11961/SHLOK/HDFC 0004702,15000.00,,1634614.69,debit,
17/05/2025,BIL/ONL/001012394 260/MAKEMYTRIP MAKEMYTRIP INDI,11946.00,,1622668.69,debit,
18/05/2025,MSI/OPENAI CHA/202505180146 /848279/,1783.65,,1620885.04,debit,
19/05/2025,MSI/VERCEL INC /202505190401/570 213/,1783.65,,1619101.39,debit,
20/05/2025,MIN/OPENAI /202505201514/818 940/,1779.94,,1617321.45,debit,
24/05/2025,MMT/IMPS/5144147 77152/NIDISH/UTIB 0000347,50000.00,,1567321.45,debit,
24/05/2025,MMT/IMPS/5144169 93562/COWORK/HD FC0001718,15340.00,,1551981.45,debit,
27/05/2025,MMT/IMPS/5147109 92511/NIDISH/UTIB 0000347,25000.00,,1526981.45,debit,
29/05/2025,MMT/IMPS/5149098 05435/RAGHAV/HD FC0004702,35000.00,,1491981.45,debit,
30/05/2025,MMT/IMPS/5150171 60058/NIDISH/UTIB 0000347,50000.00,,1441981.45,debit,
11/06/2025,GRS/0357GRSF2504 1578 1017650 80131 Solar Punk L,,685683.01,2127664.46,credit,
11/06/2025,GRS/0357GRSF2504 1578 Commission~0357G RSF25041578 C,2000.00,,2125664.46,debit,
11/06/2025,GRS/0357GRSF2504 1578 Slab SGST~0357GRSF25 041578 Sl,353.56,,2125310.90,debit,
11/06/2025,GRS/0357GRSF2504 1578 Commision SGST~0357GRSF25 0415,180.00,,2125130.90,debit,
11/06/2025,GRS/0357GRSF2504 1578 Slab CGST~0357GRSF25 041578 Sl,353.56,,2124777.34,debit,
11/06/2025,GRS/0357GRSF2504 1578 Commision CGST~0357GRSF25 0415,180.00,,2124597.34,debit,
11/06/2025,MMT/IMPS/5162165 73844/RAGHAV/HD FC0004702,135000.00,,1989597.34,debit,
11/06/2025,MMT/IMPS/5162224 88667/NIDISH/UTIB 0000347,100000.00,,1889597.34,debit,
12/06/2025,BIL/ONL/001027701 909/Cleartrip(,23596.00,,1866001.34,debit,
13/06/2025,BIL/ONL/001028143 856/MAKEMYTRIP MAKEMYTRIP INDI,61898.00,,1804103.34,debit,
13/06/2025,MIN/XDT COINFES/20250613 1833/062944/,10390.39,,1793712.95,debit,
14/06/2025,MSI/OPENAI CHA/202506141901 /728589/,1795.67,,1791917.28,debit,
14/06/2025,BIL/ONL/001028572 449/Airbnb Pay,9961.67,,1781955.61,debit,
14/06/2025,BIL/ONL/001028575 250/Airbnb Pay,8386.83,,1773568.78,debit,
15/06/2025,BIL/ONL/001028990 930/Indigo Air,5762.00,,1767806.78,debit,
16/06/2025,BIL/REV PMT ID 1028572449,,9961.67,1777768.45,credit,
17/06/2025,BIL/ONL/001029483 740/Indigo Air,21225.00,,1756543.45,debit,
17/06/2025,BIL/ONL/001029498 643/BLINK COMM,172.00,,1756371.45,debit,
17/06/2025,MMT/IMPS/5168044 28215/NIDISH/UTIB 0000347,25000.00,,1731371.45,debit,
17/06/2025,MMT/IMPS/5168190 09372/NIDISH/UTIB 0000347,25000.00,,1706371.45,debit,
18/06/2025,MSI/OPENAI CHA/202506180141 /797873/,1799.98,,1704571.47,debit,
18/06/2025,MMT/IMPS/5169214 75774/ANURAGUNI Q/HDFC0000141,10000.00,,1694571.47,debit,
18/06/2025,MMT/IMPS/5169214 75710/RISHIRAJUNI Q/IDIB000R633,20000.00,,1674571.47,debit,
18/06/2025,MMT/IMPS/5169214 75817/SHLOK/HDFC 0004702,15000.00,,1659571.47,debit,
19/06/2025,BIL/ONL/001030164 664/ALLEVENTS,520.84,,1659050.63,debit,
19/06/2025,MSI/VERCEL INC /202506190402/242 287/,1803.03,,1657247.60,debit,
19/06/2025,MMT/IMPS/5170100 95698/NIDISH/UTIB 0000347,10000.00,,1647247.60,debit,
19/06/2025,BIL/ONL/001030465 800/Indigo Air,11133.00,,1636114.60,debit,
19/06/2025,BIL/ONL/001030467 998/Indigo Air,11133.00,,1624981.60,debit,
19/06/2025,BIL/ONL/001030483 355/The Insti.,5900.00,,1619081.60,debit,
19/06/2025,BIL/ONL/001030488 593/MAKEMYTRIP MAKEMYTRIP INDI,20990.00,,1598091.60,debit,
20/06/2025,BIL/ONL/001030698 086/ZoomCar In,9458.00,,1588633.60,debit,
24/06/2025,BIL/ONL/001031978 491/Indigo Air,13572.00,,1575061.60,debit,
25/06/2025,MMT/IMPS/5176223 53882/NIDISH/UTIB 0000347,25000.00,,1550061.60,debit,
26/06/2025,BIL/ONL/001032974 928/ZoomCar In,5443.00,,1544618.60,debit,
28/06/2025,BIL/ONL/001033716 728/ZoomCar In,6117.00,,1538501.60,debit,
30/06/2025,MMT/IMPS/5181159 45640/NIDISH/UTIB 0000347,38000.00,,1500501.60,debit,
30/06/2025,BIL/ONL/001034804 487/Reliance R,1526.41,,1498975.19,debit,
30/06/2025,MMT/IMPS/5181198 87789/NIDISH/UTIB 0000347,100000.00,,1398975.19,debit,
01/07/2025,MMT/IMPS/5182154 12877/NIDISH/UTIB 0000347,350000.00,,1048975.19,debit,
01/07/2025,INF/NEFT/ICICN4202 5070159821722/MA HB0001305/Salary /ArunabhaIITIndo,35000.00,,1013975.19,debit,
08/07/2025,BIL/ONL/001041722 639/Indigo Air,13324.00,,1000651.19,debit,
11/07/2025,BIL/ONL/001043717 516/MAKEMYTRIP MAKEMYTRIP INDI,57010.00,,943641.19,debit,
12/07/2025,MMT/IMPS/5193127 03018/RAGHAV/HD FC0004702,135000.00,,808641.19,debit,
14/07/2025,MSI/OPENAI CHA/202507141901 /778229/,1789.65,,806851.54,debit,
18/07/2025,MSI/OPENAI CHA/202507180142 /696578/,1794.29,,805057.25,debit,
19/07/2025,MSI/VERCEL INC /202507190358/070 667/,1796.23,,803261.02,debit,
19/07/2025,MIN/QR IO GENER/2025071914 34/825896/,31434.27,,771826.75,debit,
19/07/2025,MIN/OPENAI /202507191507/824 433/,8981.21,,762845.54,debit,
21/07/2025,GRS/0357GRSG250 88747 1967999 80131 Solar Punk Ltd Unit A30 Red S~0357GRSG25088 747 1967999 8013,,740980.55,1503826.09,credit,
21/07/2025,GRS/0357GRSG250 88747 Commission~0357G RSG25088747 C,2000.00,,1501826.09,debit,
21/07/2025,GRS/0357GRSG250 88747 Commision CGST~0357GRSG25 0887,180.00,,1501646.09,debit,
21/07/2025,GRS/0357GRSG250 88747 Commision SGST~0357GRSG25 0887,180.00,,1501466.09,debit,
21/07/2025,GRS/0357GRSG250 88747 Slab CGST~0357GRSG25 088747 Sl,378.44,,1501087.65,debit,
21/07/2025,GRS/0357GRSG250 88747 Slab SGST~0357GRSG25 088747 Sl,378.44,,1500709.21,debit,
22/07/2025,MMT/IMPS/5203040 77840/NidishAlt/STC B0000065,300000.00,,1200709.21,debit,
22/07/2025,MIN/AGODA COM J/202507222147/36 6744/,15604.60,,1185104.61,debit,
25/07/2025,MMT/IMPS/5206186 38009/NIDISH/UTIB 0000347,100000.00,,1085104.61,debit,
28/07/2025,MMT/IMPS/5209097 30263/NIDISH/UTIB 0000347,25000.00,,1060104.61,debit,
31/07/2025,INF/NEFT/ICICN4202 5073153347041/MA HB0001305/ARUNA BHAIITINDO,65000.00,,995104.61,debit,
06/08/2025,MMT/IMPS/5218185 70934/NIDISH/UTIB 0000347,100000.00,,895104.61,debit,
06/08/2025,MMT/IMPS/5218185 96949/NIDISH/UTIB 0000347,100000.00,,795104.61,debit,
06/08/2025,BIL/ONL/001058165 387/Axis AC Op,150000.00,,645104.61,debit,
13/08/2025,MMT/IMPS/5225085 43609/RAGHAV/HD FC0004702,135000.00,,510104.61,debit,
14/08/2025,GRS/0357GRSH250 33161 7034023 80131 Solar Punk Ltd Unit A30 Red S~0357GRSH25033 161 7034023 8013,,827606.03,1337710.64,credit,
14/08/2025,GRS/0357GRSH250 33161 Commission~0357G RSH25033161 C,2000.00,,1335710.64,debit,
14/08/2025,GRS/0357GRSH250 33161 Commision SGST~0357GRSH25 0331,180.00,,1335530.64,debit,
14/08/2025,GRS/0357GRSH250 33161 Slab CGST~0357GRSH25 033161 Sl,417.42,,1335113.22,debit,
14/08/2025,GRS/0357GRSH250 33161 Commision CGST~0357GRSH25 0331,180.00,,1334933.22,debit,
14/08/2025,GRS/0357GRSH250 33161 Slab SGST~0357GRSH25 033161 Sl,417.42,,1334515.80,debit,
14/08/2025,BIL/ONL/001062416 888/Axis AC Op,75000.00,,1259515.80,debit,
14/08/2025,MSI/OPENAI CHA/202508141903 /831869/,1827.16,,1257688.64,debit,
15/08/2025,MMT/IMPS/5227168 85918/NIDISH/UTIB 0000347,250000.00,,1007688.64,debit,
18/08/2025,MSI/OPENAI CHA/202508180142 /702438/,1824.26,,1005864.38,debit,
19/08/2025,MSI/VERCEL INC /202508190346/105 583/,1819.41,,1004044.97,debit,
20/08/2025,BIL/ONL/001064628 611/Bewakoof B,1797.00,,1002247.97,debit,
31/08/2025,BIL/ONL/001069205 257/Policy Baz,1207.00,,1001040.97,debit,
31/08/2025,BIL/ONL/001069307 838/MAKEMYTRIP MAKEMYTRIP INDI,61030.00,,940010.97,debit,
01/09/2025,BIL/ONL/001069587 160/Indigo Air,3623.00,,936387.97,debit,
01/09/2025,MMT/IMPS/5244111 83628/NIDISH/UTIB 0000347,100000.00,,836387.97,debit,
01/09/2025,BIL/ONL/001069763 035/MAKEMYTRIP MAKEMYTRIP INDI,41135.00,,795252.97,debit,
05/09/2025,BIL/ONL/001074447 936/Travelsees,79239.00,,716013.97,debit,
05/09/2025,BIL/ONL/001074457 329/MAKEMYTRIP MAKEMYTRIP INDI,84441.60,,631572.37,debit,
07/09/2025,MMT/IMPS/5250172 16153/NIDISHALT/S TCB0000065,100000.00,,531572.37,debit,
08/09/2025,BIL/REV PMT ID 1074447936,,79239.00,610811.37,credit,
08/09/2025,BIL/ONL/001075915 915/AMAZON PAY,16817.02,,593994.35,debit,
09/09/2025,MMT/IMPS/5252132 29419/NIDISH/UTIB 0000347,20000.00,,573994.35,debit,
11/09/2025,MMT/IMPS/5254090 37684/Salary/Aruna bhaII/MAHB0001305,25000.00,,548994.35,debit,
11/09/2025,MMT/IMPS/5254102 12324/ArunabhaIITI ndo/MAHB0001305,10000.00,,538994.35,debit,
11/09/2025,BIL/ONL/001078333 410/Indigo Air,42966.00,,496028.35,debit,
11/09/2025,BIL/ONL/REVERSAL- 001069763035/3542 148/MAKEMYTRIP PVT. LTDMAKEMYTRIP INDI,,35535.01,531563.36,credit,
11/09/2025,BIL/ONL/REVERSAL- 001069307838/3542 149/MAKEMYTRIP PVT. LTDMAKEMYTRIP INDI,,49759.02,581322.38,credit,
11/09/2025,BIL/ONL/001078364 734/ZoomCar In,6812.00,,574510.38,debit,
14/09/2025,MSI/OPENAI CHA/202509141858 /692841/,1840.74,,572669.64,debit,
18/09/2025,MSI/OPENAI CHA/202509180141 /748973/,1829.01,,570840.63,debit,
18/09/2025,MMT/IMPS/5261112 62260/NIDISH/UTIB 0000347,25000.00,,545840.63,debit,
19/09/2025,MSI/VERCEL INC /202509190347/028 967/,1838.79,,544001.84,debit,
22/09/2025,GRS/0357GRSI2507 1507 7635104 80131 Solar Punk Ltd Unit A30 Red S~0357GRSI250715 07 7635104 8013,,657051.84,1201053.68,credit,
22/09/2025,GRS/0357GRSI2507 1507 Commission~0357G RSI25071507 C,2000.00,,1199053.68,debit,
22/09/2025,GRS/0357GRSI2507 1507 Commision CGST~0357GRSI250 715,180.00,,1198873.68,debit,
22/09/2025,GRS/0357GRSI2507 1507 Slab CGST~0357GRSI250 71507 Sl,340.67,,1198533.01,debit,
22/09/2025,GRS/0357GRSI2507 1507 Slab SGST~0357GRSI250 71507 Sl,340.67,,1198192.34,debit,
22/09/2025,GRS/0357GRSI2507 1507 Commision SGST~0357GRSI250 715,180.00,,1198012.34,debit,
23/09/2025,MMT/IMPS/5266114 81123/NIDISH/UTIB 0000347,25000.00,,1173012.34,debit,
23/09/2025,BIL/ONL/001082475 805/VFS Global WORLDLINE EPAYM,7100.00,,1165912.34,debit,
25/09/2025,BIL/ONL/001083253 903/VFS Global WORLDLINE EPAYM,7777.00,,1158135.34,debit,
25/09/2025,BIL/ONL/001083261 385/MAKEMYTRIP MAKEMYTRIP INDI,104954.00,,1053181.34,debit,
01/10/2025,BIL/ONL/REVERSAL- 001083261385/3544 800/MAKEMYTRIP PVT. LTDMAKEMYTRIP INDI,,75830.00,1129011.34,credit,
02/10/2025,BIL/ONL/001086487 167/Indigo Air,4676.00,,1124335.34,debit,
02/10/2025,MMT/IMPS/5275189 33451/NIDISH/UTIB 0000347,170000.00,,954335.34,debit,
02/10/2025,MMT/IMPS/5275189 34557/NidishAlt/STC B0000065,230000.00,,724335.34,debit,
03/10/2025,GRS/0357GRSJ2500 6147 2887339 80131 Solar Punk Ltd Unit A30 Red S~0357GRSJ250061 47 2887339 8013,,732301.69,1456637.03,credit,
03/10/2025,GRS/0357GRSJ2500 6147 Commission~0357G RSJ25006147 C,2000.00,,1454637.03,debit,
03/10/2025,GRS/0357GRSJ2500 6147 Commision CGST~0357GRSJ250 061,180.00,,1454457.03,debit,
03/10/2025,GRS/0357GRSJ2500 6147 Slab SGST~0357GRSJ250 06147 Sl,374.54,,1454082.49,debit,
03/10/2025,GRS/0357GRSJ2500 6147 Commision SGST~0357GRSJ250 061,180.00,,1453902.49,debit,
03/10/2025,GRS/0357GRSJ2500 6147 Slab CGST~0357GRSJ250 06147 Sl,374.54,,1453527.95,debit,
03/10/2025,BIL/REV PMT ID 1078333410,,11627.00,1465154.95,credit,
05/10/2025,BIL/ONL/001090702 011/Indigo Air,10677.00,,1454477.95,debit,
06/10/2025,INF/NEFT/ICICN4202 5100658872098/HD FC0000141/ANURA GUNIQ,50000.00,,1404477.95,debit,
06/10/2025,INF/NEFT/ICICN4202 5100658879913/MA HB0001305/ARUNA BHAIITINDO,50000.00,,1354477.95,debit,
06/10/2025,BIL/ONL/001091635 368/ZoomCar In,9820.00,,1344657.95,debit,
07/10/2025,BIL/ONL/001092176 200/Nova Gamin,3999.00,,1340658.95,debit,
12/10/2025,MMT/IMPS/5285162 97636/NIDISH/UTIB 0000347,25000.00,,1315658.95,debit,
13/10/2025,NEFT- HDFCN5202510133 3414540-ANURAG E PRASAD-0001- 02400920002505- HDFC0000240,,50000.00,1365658.95,credit,
13/10/2025,BIL/ONL/001096135 495/Zoomcar In,12808.00,,1352850.95,debit,
14/10/2025,GRS/0357GRSJ2504 4725 P202510090000218 PARITY TECHNOLOGIES LIMITED W~0357GRSJ25044 725 P202510090000,,262321.53,1615172.48,credit,
14/10/2025,MMT/IMPS/5287106 70744/Consultingfee s/AkashSky/UTIB000 0503,35413.33,,1579759.15,debit,
14/10/2025,GRS/0357GRSJ2504 4725 Commission~0357G RSJ25044725 C,2000.00,,1577759.15,debit,
14/10/2025,GRS/0357GRSJ2504 4725 Commision CGST~0357GRSJ250 447,180.00,,1577579.15,debit,
14/10/2025,GRS/0357GRSJ2504 4725 Commision SGST~0357GRSJ250 447,180.00,,1577399.15,debit,
14/10/2025,GRS/0357GRSJ2504 4725 Slab CGST~0357GRSJ250 44725 Sl,163.05,,1577236.10,debit,
14/10/2025,GRS/0357GRSJ2504 4725 Slab SGST~0357GRSJ250 44725 Sl,163.05,,1577073.05,debit,
14/10/2025,MSI/OPENAI CHA/202510141902 /735763/,1848.26,,1575224.79,debit,
17/10/2025,INF/INFT/042011188 601/ConsultancyFee s/ShanuAlt,520000.00,,1055224.79,debit,
18/10/2025,MSI/OPENAI CHA/202510180147 /648860/,1835.63,,1053389.16,debit,
18/10/2025,MMT/IMPS/5291108 01654/NIDISH/UTIB 0000347,25000.00,,1028389.16,debit,
19/10/2025,MSI/VERCEL INC /202510190351/466 839/,1835.63,,1026553.53,debit,
19/10/2025,MMT/IMPS/5292165 70498/NIDISH/UTIB 0000347,25000.00,,1001553.53,debit,
19/10/2025,MMT/IMPS/5292166 30806/NIDISH/UTIB 0000347,25000.00,,976553.53,debit,
22/10/2025,MMT/IMPS/5295142 61241/NIDISH/UTIB 0000347,15000.00,,961553.53,debit,
22/10/2025,MMT/IMPS/5295220 24404/NIDISH/UTIB 0000347,50000.00,,911553.53,debit,
28/10/2025,BIL/ONL/001101299 125/Indigo Air,30572.00,,880981.53,debit,
28/10/2025,MMT/IMPS/5301196 61033/NIDISH/UTIB 0000347,500000.00,,380981.53,debit,
04/11/2025,BIL/ONL/001105139 391/MAKEMYTRIP MAKEMYTRIP INDI,81431.00,,299550.53,debit,
05/11/2025,MMT/IMPS/5309153 52543/SPINSURANC E/SBIN0000300,35400.00,,264150.53,debit,
06/11/2025,GRS/0357GRSJ2510 5741 P202510230000130 PARITY TECHNOLOGIES LIMITED~0357GRSJ2 5105741 P20251023000013,,29715.67,293866.20,credit,
06/11/2025,GRS/0357GRSJ2510 5741 Commission~0357G RSJ25105741 C,2000.00,,291866.20,debit,
06/11/2025,GRS/0357GRSJ2510 5741 Commision SGST~0357GRSJ251 057,180.00,,291686.20,debit,
06/11/2025,GRS/0357GRSJ2510 5741 Slab SGST~0357GRSJ251 05741 Sl,26.74,,291659.46,debit,
06/11/2025,GRS/0357GRSJ2510 5741 Commision CGST~0357GRSJ251 057,180.00,,291479.46,debit,
06/11/2025,GRS/0357GRSJ2510 5741 Slab CGST~0357GRSJ251 05741 Sl,26.74,,291452.72,debit,
06/11/2025,GRS/0357GRSK2501 9494 3058804 80131 Solar Punk Ltd~0357GRSK2501 9494 3058804 80131 Solar Punk Lt,,822671.24,1114123.96,credit,
06/11/2025,GRS/0357GRSK2501 9494 Commission~0357G RSK25019494 C,2000.00,,1112123.96,debit,
06/11/2025,GRS/0357GRSK2501 9494 Commision CGST~0357GRSK25 0194,180.00,,1111943.96,debit,
06/11/2025,GRS/0357GRSK2501 9494 Commision SGST~0357GRSK25 0194,180.00,,1111763.96,debit,
06/11/2025,GRS/0357GRSK2501 9494 Slab CGST~0357GRSK25 019494 Sl,415.20,,1111348.76,debit,
06/11/2025,GRS/0357GRSK2501 9494 Slab SGST~0357GRSK25 019494 Sl,415.20,,1110933.56,debit,
07/11/2025,MMT/IMPS/5311122 10281/NidishAlt/STC B0000065,110000.00,,1000933.56,debit,
07/11/2025,MIN/AMAZONAWSE S/202511072200/58 4730/,2.00,,1000931.56,debit,
08/11/2025,BIL/ONL/001109871 938/ZoomCar In,12402.00,,988529.56,debit,
10/11/2025,MMT/IMPS/5314163 92060/ArunabhaIITI ndo/MAHB0001305,25000.00,,963529.56,debit,
10/11/2025,MMT/IMPS/5314163 96806/LovelyIITIndor e/SBIN0018790,20000.00,,943529.56,debit,
10/11/2025,MCD REF AMAZONAW 251107,,2.00,943531.56,credit,
10/11/2025,BIL/ONL/001111762 310/ZoomCar In,4968.00,,938563.56,debit,
11/11/2025,MMT/IMPS/5315153 66619/Stipend plus Un/MOHIUNIQ/HDFC 0000910,15000.00,,923563.56,debit,
11/11/2025,MMT/IMPS/5315154 13013/Salary/MohiU niq/HDFC0000910,15000.00,,908563.56,debit,
12/11/2025,BIL/ONL/001112347 117/Zoomcar In,4968.00,,903595.56,debit,
13/11/2025,BIL/ONL/001112719 973/Zoomcar In,4968.00,,898627.56,debit,
13/11/2025,BIL/ONL/001112911 310/VFS Global WORLDLINE EPAYM,10194.00,,888433.56,debit,
13/11/2025,BIL/ONL/001112929 145/ATLYS INDI,7589.95,,880843.61,debit,
13/11/2025,MIN/platinumlis/202 511132006/520447/,19308.67,,861534.94,debit,
13/11/2025,MIN/PHP Goibibo/2025111320 44/585453/,48966.00,,812568.94,debit,
13/11/2025,BIL/ONL/001112953 853/MAKEMYTRIP MAKEMYTRIP INDI,31063.00,,781505.94,debit,
14/11/2025,GRS/0357GRSK2505 9106 P202511130000257 PARITY TECHNOLOGIES LIMITED~0357GRSK 25059106 P20251113000025,,866317.31,1647823.25,credit,
14/11/2025,GRS/0357GRSK2505 9106 Commision CGST~0357GRSK25 0591,180.00,,1647643.25,debit,
14/11/2025,GRS/0357GRSK2505 9106 Commission~0357G RSK25059106 C,2000.00,,1645643.25,debit,
14/11/2025,GRS/0357GRSK2505 9106 Commision SGST~0357GRSK25 0591,180.00,,1645463.25,debit,
14/11/2025,GRS/0357GRSK2505 9106 Slab CGST~0357GRSK25 059106 Sl,434.84,,1645028.41,debit,
14/11/2025,GRS/0357GRSK2505 9106 Slab SGST~0357GRSK25 059106 Sl,434.84,,1644593.57,debit,
14/11/2025,BIL/ONL/001113078 296/Zoomcar In,4968.00,,1639625.57,debit,
14/11/2025,MMT/IMPS/5318128 40262/NIDISH/UTIB 0000347,150000.00,,1489625.57,debit,
14/11/2025,MSI/OPENAI CHA/202511141903 /793430/,1849.78,,1487775.79,debit,
15/11/2025,INF/NEFT/IN4253195 1973410/UTIB00005 03/AKASHSKY,111060.00,,1376715.79,debit,
18/11/2025,MSI/OPENAI CHA/202511180149 /557092/,1846.41,,1374869.38,debit,
18/11/2025,MSI/VERCEL INC /202511181913/506 880/,1846.41,,1373022.97,debit,
19/11/2025,BIL/ONL/001115067 967/MAKEMYTRIP MAKEMYTRIP INDI,38904.00,,1334118.97,debit,
19/11/2025,BIL/ONL/001115075 075/Cleartrip,24336.00,,1309782.97,debit,
19/11/2025,BIL/ONL/001115089 464/CLEARTRIP,13924.00,,1295858.97,debit,
21/11/2025,BIL/ONL/001115824 246/ZoomCar In,5981.00,,1289877.97,debit,
22/11/2025,BIL/ONL/001115901 464/Indigo Air,1366.00,,1288511.97,debit,
25/11/2025,INF/NEFT/IN4253295 8141169/STCB0000 065/Salary /NidishAlt,650000.00,,638511.97,debit,
01/12/2025,INF/NEFT/IN4253355 1135194/UTIB00003 47/Salary /NIDISH,550000.00,,88511.97,debit,
01/12/2025,BIL/ONL/001119806 085/Casa2 Stay,973.00,,87538.97,debit,
03/12/2025,MMT/IMPS/5337127 01036/CarBillingPay me/MarutiPrem/HDF C0000090,50000.00,,37538.97,debit,
04/12/2025,GRS/0357GRSL2501 8260 1445016 80131 Solar Punk Ltd~0357GRSL2501 8260 1445016 80131 Solar Punk Lt,,666335.99,703874.96,credit,
04/12/2025,GRS/0357GRSL2501 8260 Commision CGST~0357GRSL25 0182,180.00,,703694.96,debit,
04/12/2025,GRS/0357GRSL2501 8260 Commission~0357G RSL25018260 C,2000.00,,701694.96,debit,
04/12/2025,GRS/0357GRSL2501 8260 Commision SGST~0357GRSL25 0182,180.00,,701514.96,debit,
04/12/2025,GRS/0357GRSL2501 8260 Slab CGST~0357GRSL25 018260 Sl,344.85,,701170.11,debit,
04/12/2025,GRS/0357GRSL2501 8260 Slab SGST~0357GRSL25 018260 Sl,344.85,,700825.26,debit,
05/12/2025,BIL/ONL/001124429 412/MAKEMYTRIP MAKEMYTRIP INDI,24787.00,,676038.26,debit,
05/12/2025,BIL/ONL/001124466 192/National A,111009.00,,565029.26,debit,
05/12/2025,BIL/ONL/REVERSAL- 001115067967/3552 438/MAKEMYTRIP PVT. LTDMAKEMYTRIP INDI,,22261.50,587290.76,credit,
08/12/2025,BIL/ONL/001125886 916/ATLYS INDI,34400.00,,552890.76,debit,
14/12/2025,MSI/OPENAI CHA/202512141901 /591668/,1888.06,,551002.70,debit,
14/12/2025,INF/NEFT/IN4253485 2039173/MAHB000 1305/Sum of Reimburs/ARUNABH AIITINDO,55467.00,,495535.70,debit,
14/12/2025,INF/NEFT/IN4253485 2039185/SBIN00187 90/LOVELYIITINDOR E,20000.00,,475535.70,debit,
14/12/2025,INF/NEFT/IN4253485 2039198/HDFC0000 910/MOHIUNIQ,10000.00,,465535.70,debit,
15/12/2025,GRS/0357GRSL2506 1862 P202512110000193 PARITY TECHNOLOGIES LIMITED~0357GRSL 25061862 P20251211000019,,736780.46,1202316.16,credit,
15/12/2025,GRS/0357GRSL2506 1862 Commission~0357G RSL25061862 C,2000.00,,1200316.16,debit,
15/12/2025,GRS/0357GRSL2506 1862 Commision SGST~0357GRSL25 0618,180.00,,1200136.16,debit,
15/12/2025,GRS/0357GRSL2506 1862 Slab SGST~0357GRSL25 061862 Sl,376.55,,1199759.61,debit,
